table,field,airtable_type,result_type,logic,proposed_recreation
Investments,Est_PIP_cost,multipleLookupValues,currency,Asset_detail.[Est_PIP_cost] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Operating_balance,rollup,currency,Cash_accounts.[Latest_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Quarter_end_operating_balance,rollup,currency,Cash_accounts.[Quarter_end_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Reserve_balance,rollup,currency,Cash_accounts.[Latest_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Quarter_end_reserve_balance,rollup,currency,Cash_accounts.[Quarter_end_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,PIP_balance,rollup,currency,Cash_accounts.[Latest_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Quarter_end_PIP_balance,rollup,currency,Cash_accounts.[Quarter_end_cash_balance] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_total_operating_revenue,rollup,currency,Asset_detail.[TTM_total_operating_revenue] via link [Asset_detail_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_NOI,rollup,currency,Asset_detail.[TTM_NOI] via link [Asset_detail_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Adj_TTM_NOI,rollup,currency,Asset_detail.[TTM_adjusted_NOI] via link [Asset_detail_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_cap_rate_date,rollup,date,Investments_market_value.[Cap_rate_date] via link [Investments_market_value_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_cap_rate,multipleLookupValues,percent,Investments_market_value.[Latest_cap_rate] via link [Investments_market_value_link],JOIN to the linked table in a view (returns array)
Investments,TTM_valuation,formula,currency,{Adj_TTM_NOI}/{Latest_cap_rate},Postgres generated column or view expression
Investments,Latest_valuation_date,rollup,date,Investments_market_value.[Date] via link [Investments_market_value_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_valuation_method,multipleLookupValues,singleSelect,Investments_market_value.[Valuation_method] via link [Investments_market_value_link],JOIN to the linked table in a view (returns array)
Investments,Latest_valuation,rollup,currency,Investments_market_value.[Latest_valuation] via link [Investments_market_value_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Appfolio_value,rollup,currency,Investments_market_value.[Appfolio_value] via link [Investments_market_value_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Asset_number,multipleLookupValues,singleLineText,Asset_detail.[Asset_number] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Latest_debt_balance_date,rollup,date,Loan_summary_data.[Latest_balance_date] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
